Effective Date,Index Name,Action,Company Name,Ticker,GICS Sector,Market,Release date,sector_stock,sector_performance_1week,sector_performance_5week,sector_performance_20week,index_performance_1week,index_performance_5week,index_performance_20week,company_performance_1week,company_performance_5week,company_performance_20week,market_performance_1week,index_stock,market_performance_5week,market_performance_20week,twentyfour_hr_post_release%change,twentyfour_hr_post_effect%change,market_cap,2week_volume_avg,10week_sum_dividens,10week_sum_dividends,10weeks_sum_dividends,20week_avg_vol
2022-07-26,S&P SmallCap 600,Addition,Six Flags Entertainment,SIX,Consumer Discretionary,"NEW YORK, ",2022-07-21,XLY,8.24297515751437,11.27737337224959,-14.505729938847718,6.731104950611548,5.4051889041692665,-10.612673604152931,8.653851973234763,0.8478381764895832,-48.03403194012829,na,^SP600,na,na,0.1298086477913712,1.6439058155719677,970,2461170,0,0,0.0,2185105
2022-06-16,S&P SmallCap 600,Addition,National Vision Holdings,EYE,Consumer Discretionary,"NEW YORK, ",2022-06-13,XLY,-10.448229813319593,-9.857772596662803,-20.950724734464902,-6.218109442397885,-2.1272239581104024,-7.96376597981892,-8.661698712989939,-26.126907293770884,-30.55330614825221,na,^SP600,na,na,5.436931396691999,-1.1498629179992157,970,1215688,0,0,0.0,1060047
2022-07-05,S&P MidCap 400,Addition,Omnicell,OMCL,Health Care,"NEW YORK, ",2022-06-28,XLV,7.335214651726375,-0.0393999832871014,-0.3611222066514934,5.472216055916537,-2.814320838715044,-10.70645804768301,14.919838687554703,12.572619838142703,-17.93395431451322,na,^SP400,na,na,-3.988343860436837,-0.7628348363901265,2280,450700,0,0,0.0,462168
2022-07-05,S&P SmallCap 600,Addition,Stride,LRN,Consumer Discretionary,"NEW YORK, ",2022-06-28,XLY,5.286343962554437,5.021659108741823,-20.2356520054966,5.551532657839532,-0.8851029781778603,-9.125782967750514,7.286082581678529,3.5149887975752248,8.760381753668629,na,^SP600,na,na,9.298008798763451,2.4081461025308832,970,627811,0,0,0.0,533295
2022-07-05,S&P SmallCap 600,Addition,Sun Country Airlines,SNCY,Industrials,"NEW YORK, ",2022-06-28,XLI,3.085633302858793,-1.2655741006622838,-10.513013115137518,5.551532657839532,-0.8851029781778603,-9.125782967750514,-0.4512122152935154,-25.02124497842281,-36.738351756794586,na,^SP600,na,na,7.58376831758285,-1.5670654148110756,970,354000,0,0,0.0,485347
2022-07-06,S&P MidCap 400,Addition,Southwestern Energy,SWN,Energy,"NEW YORK, ",2022-06-28,XLE,1.112444074816061,-8.089155076833043,10.702497549623184,5.472216055916537,-2.814320838715044,-10.70645804768301,6.340058409115972,-2.509908228691096,60.43478842268381,na,^SP400,na,na,-8.887377790257641,6.820121244287304,2280,59673500,0,0,0.0,36549244
2022-07-06,S&P SmallCap 600,Addition,Frontdoor,FTDR,Consumer Discretionary,"NEW YORK, ",2022-06-28,XLY,5.286343962554437,5.021659108741823,-20.23564542648255,5.551532657839532,-0.8851029781778603,-9.125782967750514,7.324082007410994,-12.660693378810508,-38.202864303601125,na,^SP600,na,na,8.13376056335479,2.980806651934884,970,2295588,0,0,0.0,1106211
2022-07-07,S&P MidCap 400,Addition,Ormat Technologies,ORA,Utilities,"NEW YORK, ",2022-06-28,XLU,8.082989242721458,-3.273880873739768,3.1585926298333886,5.472216055916537,-2.814320838715044,-10.70645804768301,-0.1213330747498785,-4.8536122065615,10.899144038568233,na,^SP400,na,na,5.870946818198145,1.4535246528275307,2280,989955,0,0,0.24,433926
2021-06-09,S&P MidCap 400,Addition,Targa Resources,TRGP,Energy,"NEW YORK, ",2021-06-03,XLE,5.202773665503629,8.20382118815054,27.86647546700276,0.7250734483197468,-1.2043702214240215,11.985141227482115,6.710529195057255,16.556468705893472,32.16737285704587,na,^SP400,na,na,12.333095412536972,2.9867222374650697,2280,1555800,0,0,0.2,1734401
2021-06-09,S&P MidCap 400,Addition,Envestnet,ENV,Information Technology,"NEW YORK, ",2021-06-03,XLK,-0.7002696035923043,-3.750594163688734,5.868181128053212,0.7250734483197468,-1.2043702214240215,11.985141227482115,1.6446954234881943,-4.080807478644279,-15.300091022715655,na,^SP400,na,na,10.93094715508584,1.3810765641966745,2280,386755,0,0,0.0,505509
